"the_geom","NAME","URL","SHAPE_LEN"
"MULTILINESTRING ((-73.80299533440522 40.665193413204335, -73.80266385637762 40.66593709362183))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80266385637762 40.66593709362183, -73.80247129181305 40.666292267882525))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80247129181305 40.666292267882525, -73.80244710822541 40.66633943691768))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80244710822541 40.66633943691768, -73.80242065437774 40.666398843691546))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80242065437774 40.666398843691546, -73.80218172940586 40.66677869486238))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80218172940586 40.66677869486238, -73.80175542191019 40.6674770025447))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80175542191019 40.6674770025447, -73.80158744284168 40.667779956981484))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80158744284168 40.667779956981484, -73.80136002496982 40.66839565928423))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80136002496982 40.66839565928423, -73.80123038484618 40.668980815216955))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80123038484618 40.668980815216955, -73.80120591280391 40.66910033558745))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80120591280391 40.66910033558745, -73.80115999118334 40.66980042322962))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80115999118334 40.66980042322962, -73.80113234663895 40.67054868586875))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80113234663895 40.67054868586875, -73.80113430381901 40.671294474556255))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80113430381901 40.671294474556255, -73.80113696076215 40.6713585419714))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80114237962266 40.67148796832374, -73.80115536654851 40.67179913850264))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80115536654851 40.67179913850264, -73.8011593382905 40.67189389602274))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80168193190397 40.67438387676329, -73.80202520221222 40.67511427772127))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80202520221222 40.67511427772127, -73.80238904432996 40.67588849245096))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80238904432996 40.67588849245096, -73.80267767208714 40.67649797237269))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80267767208714 40.67649797237269, -73.80296634178686 40.6771074515881))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80296634178686 40.6771074515881, -73.80323028207582 40.67768106877733))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80113696076215 40.6713585419714, -73.80114237962266 40.67148796832374))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81063310607196 40.691948192932294, -73.81102158186596 40.69262289314613))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81102158186596 40.69262289314613, -73.8113979149031 40.693322330837205))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8113979149031 40.693322330837205, -73.81169455432038 40.693857937661875))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81169455432038 40.693857937661875, -73.8117698989411 40.693993926996995))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80323028207582 40.67768106877733, -73.80410224700154 40.6794245586153))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80437255635474 40.680008888274166, -73.80464518055166 40.6805799088427))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80464518055166 40.6805799088427, -73.80492974063084 40.681176997291885))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80492974063084 40.681176997291885, -73.80522681672454 40.681798176974354))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80522681672454 40.681798176974354, -73.80551809078185 40.68240823095417))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80551809078185 40.68240823095417, -73.80576840859305 40.68293241202885))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80576840859305 40.68293241202885, -73.80606203795455 40.68355438053325))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80606203795455 40.68355438053325, -73.80660609551451 40.684681149328895))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80660609551451 40.684681149328895, -73.80709061526392 40.68563033829555))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80709061526392 40.68563033829555, -73.8072592790418 40.685983050419544))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8072592790418 40.685983050419544, -73.80787469671269 40.68709834897775))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80787469671269 40.68709834897775, -73.80807343501054 40.68745283992893))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80807343501054 40.68745283992893, -73.80861232044624 40.688394784356355))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80900113567716 40.68907498186608, -73.80954788514329 40.69003757544224))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80954788514329 40.69003757544224, -73.80972326081304 40.69034635058188))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80972326081304 40.69034635058188, -73.80995600992914 40.69075611843327))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80995600992914 40.69075611843327, -73.81024426875346 40.6912636093875))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81024426875346 40.6912636093875, -73.81063310607196 40.691948192932294))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8117698989411 40.693993926996995, -73.81202952457107 40.694447651585655))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81209134294431 40.694559628891255, -73.81224188957657 40.69483223888906))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81224188957657 40.69483223888906, -73.81245207468079 40.695198130241856))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81245207468079 40.695198130241856, -73.81299801351709 40.696112068406194))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81299801351709 40.696112068406194, -73.81309514304701 40.69639062836684))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81309514304701 40.69639062836684, -73.81310153575663 40.69651593724237, -73.81310130484776 40.69659830783212, -73.81309431851574 40.69667166410637, -73.8130805929758 40.69674371989786, -73.8130653315093 40.69679768455758, -73.81303677687568 40.696885087138014))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81303677687568 40.696885087138014, -73.81299485992642 40.69695377512001, -73.8129599740342 40.69700995916263, -73.81292513074146 40.69706359030506, -73.81288806800863 40.69711123390976, -73.81283304436215 40.697172490188755, -73.81274803954206 40.697250852466944))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81274803954206 40.697250852466944, -73.81261184679 40.69736042152716, -73.81253162783639 40.69741675134546, -73.81242787024878 40.69746944609333, -73.81233944038192 40.69750874447348, -73.81223452755535 40.69754889389774, -73.81155742491218 40.69775798264217))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8034811250743 40.660715358043596, -73.80345587663616 40.66057461696533))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80517906853902 40.657958747900146, -73.8053417224514 40.65788584711073))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8053417224514 40.65788584711073, -73.80552744527934 40.65777466801584))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80531631009879 40.65802274151226, -73.80553340654404 40.65788120318073))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80553340654404 40.65788120318073, -73.80586712413073 40.65750732302075))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80552744527934 40.65777466801584, -73.8058111300227 40.6574901285473))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80586712413073 40.65750732302075, -73.80589426281612 40.65744558331493))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8058111300227 40.6574901285473, -73.80589426281612 40.65744558331493))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80589426281612 40.65744558331493, -73.80656570721631 40.65665382818279))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80656570721631 40.65665382818279, -73.80673577822411 40.65637046768012))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80673577822411 40.65637046768012, -73.80689874312574 40.65602602358603))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80689874312574 40.65602602358603, -73.8069949381067 40.655726453562046))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80359711576239 40.660579414832185, -73.80368730442368 40.6611278396679))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80368730442368 40.6611278396679, -73.80377488026306 40.66127818389339))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80377488026306 40.66127818389339, -73.80389318073217 40.66138683239111))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80389318073217 40.66138683239111, -73.80405069143686 40.66148525373698))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80405069143686 40.66148525373698, -73.80424649388628 40.6615544263543))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80356720570317 40.66150765079487, -73.803574703728 40.66127487773796))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8034811250743 40.660715358043596, -73.803574703728 40.66127487773796))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.803574703728 40.66127487773796, -73.80371969336673 40.66145114870291))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80371969336673 40.66145114870291, -73.80384592498672 40.6615470468292))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80384592498672 40.6615470468292, -73.80403198883818 40.66163083302885))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79823863958512 40.645286907466776, -73.79783969076688 40.645193597334405))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79783969076688 40.645193597334405, -73.79713702942635 40.6450798237509))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79713702942635 40.6450798237509, -73.79680543535638 40.64504451607326))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79664110658818 40.645047684504796, -73.79457953440394 40.645087497648))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79457953440394 40.645087497648, -73.7937298377491 40.64514361726376))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7937298377491 40.64514361726376, -73.79338691897499 40.645204979108))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79338691897499 40.645204979108, -73.7916797225631 40.64543638761957))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79338691897499 40.645204979108, -73.79269966304771 40.645226909116566))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79269966304771 40.645226909116566, -73.79210131508579 40.64526903146113))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79210131508579 40.64526903146113, -73.79138694517899 40.64539921381531))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7916797225631 40.64543638761957, -73.79126651312208 40.64551548392448))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7937298377491 40.64514361726376, -73.79167884370626 40.64523318897107))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.791575100158 40.64529072346376, -73.79210131508579 40.64526903146113))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79138694517899 40.64539921381531, -73.79115399685777 40.64545088702677))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79126651312208 40.64551548392448, -73.7911953810665 40.64554966462745))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7911953810665 40.64554966462745, -73.79092169221003 40.64566488786764))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79115399685777 40.64545088702677, -73.79087908479178 40.64555438767006))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79092169221003 40.64566488786764, -73.7906406111547 40.64583919275805))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79087908479178 40.64555438767006, -73.79062491800276 40.645707276654115))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7906406111547 40.64583919275805, -73.7899851534983 40.64630076883364))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79062491800276 40.645707276654115, -73.79016564659791 40.64613166266953))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79016564659791 40.64613166266953, -73.78989878512998 40.64628617393456))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.7899851534983 40.64630076883364, -73.78957617794717 40.646497427049596))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78989878512998 40.64628617393456, -73.78942046896363 40.64643983111781))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78942046896363 40.64643983111781, -73.78712814165436 40.64738536372339))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.78957617794717 40.646497427049596, -73.78713155054689 40.647514210193734))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80424869808088 40.6582976041093, -73.80436969398029 40.65825976663708))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80436969398029 40.65825976663708, -73.80454270255093 40.658195997839286))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80462925343615 40.658289878992804, -73.80473508717348 40.65824806390543))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80473508717348 40.65824806390543, -73.80488071037152 40.658193991721866))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80454270255093 40.658195997839286, -73.80517906853902 40.657958747900146))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80488071037152 40.658193991721866, -73.80531631009879 40.65802274151226))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8069949381067 40.655726453562046, -73.80705062302067 40.65531458199562))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80705062302067 40.65531458199562, -73.80703693787598 40.655024243362156))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80703693787598 40.655024243362156, -73.80694811151626 40.65450914409866))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80680257461741 40.65401374020224, -73.80650586470856 40.6533287737862))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80650586470856 40.6533287737862, -73.8062847314365 40.65291747924339))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8062847314365 40.65291747924339, -73.80514239669195 40.651178289802495))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80514239669195 40.651178289802495, -73.80417887917118 40.64991366633759))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80417887917118 40.64991366633759, -73.80344270055613 40.6489849732491))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80694811151626 40.65450914409866, -73.80680257461741 40.65401374020224))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80344270055613 40.6489849732491, -73.80231272571123 40.64779256619268))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80231272571123 40.64779256619268, -73.80105472855152 40.64664537926648))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80105472855152 40.64664537926648, -73.8005689646107 40.64628412001431))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8005689646107 40.64628412001431, -73.79991081846165 40.645897113793865))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.79991081846165 40.645897113793865, -73.79876261768003 40.64542086572639))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.803574703728 40.66127487773796, -73.80359711576239 40.660579414832185))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80344719427706 40.660768961077544, -73.80345587663616 40.66057461696533))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81075235156554 40.698098934602896, -73.81001488663209 40.69837774179272))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81001488663209 40.69837774179272, -73.80926926612261 40.69868161727206))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80921489416366 40.698563557070685, -73.80995658503234 40.69825940079534))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80995658503234 40.69825940079534, -73.8106901333809 40.69798780605821))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8106901333809 40.69798780605821, -73.81155742491218 40.69775798264217))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81155742491218 40.69775798264217, -73.81075235156554 40.698098934602896))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80299533440522 40.665193413204335, -73.80320920833768 40.66457801480203))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80320920833768 40.66457801480203, -73.80323409266597 40.66450015983593))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80323409266597 40.66450015983593, -73.80331966579264 40.6641942353138))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80331966579264 40.6641942353138, -73.80347132907113 40.66326933707437))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80347132907113 40.66326933707437, -73.80348579737066 40.66295878919568))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80348579737066 40.66295878919568, -73.80353271035426 40.66273209536886))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80348579737066 40.66295878919568, -73.80344551068956 40.6627345543062))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80353271035426 40.66273209536886, -73.80355615924928 40.661819384258315))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80344551068956 40.6627345543062, -73.80341657898568 40.66187437100658))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80341657898568 40.66187437100658, -73.8034255071901 40.661560162914554))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80355615924928 40.661819384258315, -73.80356720570317 40.66150765079487))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8034255071901 40.661560162914554, -73.80344719427706 40.660768961077544))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80359711576239 40.660579414832185, -73.80364112021319 40.659099281145245))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80345587663616 40.66057461696533, -73.80349150661966 40.659099574961616))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80349150661966 40.659099574961616, -73.80354348210889 40.65892767544876))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80364112021319 40.659099281145245, -73.8037011938215 40.65889415633392))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8037011938215 40.65889415633392, -73.80385640121413 40.65867069349056))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80354348210889 40.65892767544876, -73.80361448079557 40.658757921907544))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80361448079557 40.658757921907544, -73.8037735832039 40.658570257846606))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
